img_path,img_gt_class_labels,img_gt_bbox_coords
VOCdevkit/VOC2012/JPEGImages/2009_004796.jpg,[16],"[[1.0, 28.0, 409.0, 358.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_002365.jpg,[18],"[[244.0, 388.0, 312.0, 500.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_001476.jpg,[14],"[[169.0, 48.0, 371.0, 218.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_005422.jpg,[18],"[[1.0, 34.0, 365.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_008497.jpg,[5],"[[42.0, 35.0, 424.0, 353.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_003088.jpg,[13],"[[133.0, 105.0, 305.0, 324.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_003698.jpg,[16],"[[157.0, 11.0, 500.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_001226.jpg,"[17, 17, 4, 4]","[[112.0, 35.0, 171.0, 111.0], [376.0, 83.0, 392.0, 115.0], [271.0, 117.0, 345.0, 231.0], [271.0, 107.0, 406.0, 197.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_001080.jpg,"[2, 18]","[[44.0, 121.0, 490.0, 375.0], [168.0, 116.0, 194.0, 134.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_003311.jpg,"[9, 9]","[[343.0, 122.0, 500.0, 264.0], [1.0, 117.0, 417.0, 267.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_005330.jpg,[14],"[[67.0, 105.0, 360.0, 266.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_001539.jpg,[18],"[[243.0, 45.0, 405.0, 286.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_005123.jpg,[14],"[[113.0, 75.0, 500.0, 349.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_003690.jpg,[18],"[[46.0, 22.0, 495.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_008536.jpg,[4],"[[219.0, 124.0, 379.0, 306.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_006868.jpg,"[16, 10]","[[275.0, 93.0, 371.0, 216.0], [1.0, 38.0, 472.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_000271.jpg,[18],"[[266.0, 104.0, 500.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_002002.jpg,"[18, 1, 18, 8]","[[21.0, 110.0, 212.0, 331.0], [280.0, 76.0, 363.0, 152.0], [357.0, 106.0, 500.0, 328.0], [299.0, 191.0, 310.0, 214.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_003933.jpg,[15],"[[4.0, 67.0, 500.0, 284.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_001525.jpg,"[12, 12, 12]","[[312.0, 87.0, 470.0, 222.0], [282.0, 126.0, 383.0, 194.0], [52.0, 193.0, 229.0, 274.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_001690.jpg,[18],"[[129.0, 86.0, 326.0, 328.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_000745.jpg,[18],"[[88.0, 84.0, 290.0, 423.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_003868.jpg,"[2, 2, 18]","[[301.0, 139.0, 500.0, 287.0], [138.0, 124.0, 395.0, 241.0], [138.0, 100.0, 307.0, 333.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_003459.jpg,"[10, 17, 17, 18]","[[204.0, 245.0, 333.0, 383.0], [1.0, 292.0, 38.0, 500.0], [1.0, 161.0, 42.0, 265.0], [68.0, 310.0, 174.0, 457.0]]"
VOCdevkit/VOC2012/JPEGImages/2007_000333.jpg,[9],"[[1.0, 39.0, 367.0, 270.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_006323.jpg,[5],"[[77.0, 5.0, 383.0, 334.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_000500.jpg,"[18, 18]","[[69.0, 44.0, 186.0, 179.0], [184.0, 52.0, 276.0, 153.0]]"
VOCdevkit/VOC2012/JPEGImages/2012_000813.jpg,[18],"[[1.0, 20.0, 492.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_002665.jpg,[5],"[[9.0, 1.0, 500.0, 375.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_001241.jpg,"[10, 17]","[[4.0, 212.0, 250.0, 375.0], [221.0, 237.0, 266.0, 290.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_001494.jpg,[8],"[[73.0, 7.0, 347.0, 500.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_008310.jpg,"[17, 17]","[[1.0, 1.0, 212.0, 340.0], [1.0, 239.0, 22.0, 327.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_006265.jpg,"[15, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18]","[[1.0, 35.0, 487.0, 293.0], [385.0, 236.0, 406.0, 298.0], [329.0, 245.0, 346.0, 294.0], [353.0, 239.0, 376.0, 298.0], [356.0, 239.0, 380.0, 290.0], [480.0, 239.0, 487.0, 257.0], [471.0, 236.0, 478.0, 257.0], [466.0, 237.0, 473.0, 255.0], [455.0, 236.0, 464.0, 255.0], [461.0, 238.0, 466.0, 256.0], [439.0, 237.0, 445.0, 253.0], [435.0, 237.0, 441.0, 253.0], [426.0, 239.0, 432.0, 253.0], [412.0, 238.0, 418.0, 255.0], [416.0, 237.0, 422.0, 252.0], [420.0, 239.0, 423.0, 251.0], [422.0, 237.0, 426.0, 252.0], [382.0, 235.0, 389.0, 250.0], [375.0, 235.0, 381.0, 248.0]]"
VOCdevkit/VOC2012/JPEGImages/2011_002883.jpg,[16],"[[134.0, 1.0, 374.0, 266.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_004998.jpg,[14],"[[131.0, 192.0, 291.0, 300.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_000252.jpg,"[18, 18, 18, 2, 0]","[[184.0, 58.0, 339.0, 375.0], [443.0, 109.0, 471.0, 181.0], [165.0, 121.0, 204.0, 197.0], [1.0, 130.0, 47.0, 170.0], [194.0, 14.0, 500.0, 195.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_004642.jpg,[14],"[[122.0, 36.0, 426.0, 317.0]]"
VOCdevkit/VOC2012/JPEGImages/2009_002734.jpg,[9],"[[81.0, 59.0, 397.0, 305.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_003397.jpg,[14],"[[1.0, 20.0, 483.0, 374.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_003645.jpg,[14],"[[5.0, 63.0, 436.0, 470.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_000759.jpg,[18],"[[222.0, 122.0, 271.0, 290.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_004971.jpg,"[0, 0]","[[102.0, 25.0, 477.0, 318.0], [3.0, 155.0, 103.0, 252.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_004419.jpg,[15],"[[1.0, 144.0, 486.0, 318.0]]"
VOCdevkit/VOC2012/JPEGImages/2008_008635.jpg,"[6, 6, 6, 6, 6, 6]","[[11.0, 174.0, 67.0, 209.0], [95.0, 169.0, 148.0, 198.0], [67.0, 161.0, 94.0, 186.0], [134.0, 161.0, 160.0, 186.0], [92.0, 162.0, 124.0, 176.0], [22.0, 168.0, 33.0, 177.0]]"
VOCdevkit/VOC2012/JPEGImages/2010_000138.jpg,"[7, 7, 7]","[[432.0, 183.0, 475.0, 229.0], [205.0, 178.0, 264.0, 237.0], [9.0, 175.0, 93.0, 233.0]]"
