img_path,img_gt_class_labels,img_gt_bbox_coords
VOCdevkit/VOC2012/JPEGImages/2009_001091.jpg,"['bus', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']","[[1, 1, 253, 250], [1, 128, 73, 247], [63, 146, 63, 204], [120, 126, 65, 218], [171, 122, 50, 161], [189, 143, 62, 226], [188, 120, 92, 186], [217, 123, 138, 221], [305, 117, 73, 235], [370, 112, 70, 251], [420, 113, 80, 262]]"
VOCdevkit/VOC2012/JPEGImages/2011_003495.jpg,"['person', 'person']","[[208, 3, 65, 71], [105, 30, 89, 290]]"
VOCdevkit/VOC2012/JPEGImages/2011_002826.jpg,"['bus', 'bus', 'bus', 'bus']","[[355, 109, 49, 69], [435, 117, 64, 45], [399, 145, 39, 18], [112, 85, 250, 206]]"
VOCdevkit/VOC2012/JPEGImages/2012_001976.jpg,['person'],"[[159, 154, 139, 346]]"
VOCdevkit/VOC2012/JPEGImages/2009_003232.jpg,['horse'],"[[61, 88, 258, 272]]"
VOCdevkit/VOC2012/JPEGImages/2008_000419.jpg,"['sofa', 'dog']","[[22, 375, -21, 83], [78, 328, 34, 48]]"
VOCdevkit/VOC2012/JPEGImages/2008_008464.jpg,['aeroplane'],"[[43, 190, -10, 246]]"
VOCdevkit/VOC2012/JPEGImages/2008_003225.jpg,['pottedplant'],"[[158, 500, -156, -148]]"
VOCdevkit/VOC2012/JPEGImages/2012_000104.jpg,['person'],"[[182, 78, 54, 114]]"
VOCdevkit/VOC2012/JPEGImages/2011_007213.jpg,['person'],"[[1, 1, 432, 374]]"
VOCdevkit/VOC2012/JPEGImages/2010_004168.jpg,"['person', 'person', 'person', 'train']","[[158, 154, 59, 142], [224, 162, 40, 107], [273, 167, 30, 93], [208, 23, 292, 305]]"
VOCdevkit/VOC2012/JPEGImages/2010_001305.jpg,"['dog', 'chair', 'person', 'person']","[[168, 41, 190, 334], [370, 1, 130, 338], [1, 133, 250, 242], [315, 1, 185, 283]]"
VOCdevkit/VOC2012/JPEGImages/2011_002656.jpg,"['tvmonitor', 'bicycle', 'bicycle']","[[43, 147, 78, 75], [347, 162, 101, 110], [368, 173, 80, 111]]"
VOCdevkit/VOC2012/JPEGImages/2012_002961.jpg,"['person', 'person']","[[37, 119, 138, 213], [304, 131, 179, 201]]"
VOCdevkit/VOC2012/JPEGImages/2008_005682.jpg,"['horse', 'person', 'horse', 'horse']","[[102, 242, 243, 176], [56, 181, 299, 242], [78, 100, 2, 14], [76, 100, -33, -41]]"
VOCdevkit/VOC2012/JPEGImages/2012_003891.jpg,['person'],"[[73, 34, 150, 411]]"
VOCdevkit/VOC2012/JPEGImages/2010_001820.jpg,['bird'],"[[242, 151, 60, 110]]"
VOCdevkit/VOC2012/JPEGImages/2011_005372.jpg,['person'],"[[200, 283, 33, 73]]"
VOCdevkit/VOC2012/JPEGImages/2008_000732.jpg,"['person', 'person', 'chair']","[[112, 333, -19, -43], [8, 332, 86, 53], [200, 332, 153, 100]]"
VOCdevkit/VOC2012/JPEGImages/2010_002774.jpg,"['bus', 'bus']","[[77, 66, 378, 200], [1, 76, 314, 185]]"
VOCdevkit/VOC2012/JPEGImages/2012_002340.jpg,"['person', 'person', 'person']","[[123, 3, 94, 300], [299, 93, 86, 157], [218, 81, 76, 178]]"
VOCdevkit/VOC2012/JPEGImages/2012_001658.jpg,['person'],"[[125, 44, 235, 331]]"
VOCdevkit/VOC2012/JPEGImages/2009_001835.jpg,['cat'],"[[92, 1, 283, 499]]"
VOCdevkit/VOC2012/JPEGImages/2011_000024.jpg,['person'],"[[108, 48, 157, 284]]"
